========== FactorVAEModel 训练配置 ==========
d_feat: 20
time_span: 20
stock_size: 300
latent_size: 64
factor_size: 16
gru_input_size: 20
hidden_size: 64
gamma: 1.0
n_epochs: 300
lr: 0.001
early_stop: 30
batch_size: 512
optimizer: adam
GPU: 6
seed: None
===================================================

========== 训练过程 ==========
Epoch 37: train_loss 0.2339, valid_loss 0.1894
Epoch 38: train_loss 0.2334, valid_loss 0.1892
Epoch 39: train_loss 0.2333, valid_loss 0.1901
Epoch 40: train_loss 0.2327, valid_loss 0.1900
Epoch 41: train_loss 0.2322, valid_loss 0.1906
Epoch 42: train_loss 0.2317, valid_loss 0.1905
Epoch 43: train_loss 0.2314, valid_loss 0.1917
Epoch 44: train_loss 0.2319, valid_loss 0.1914
Epoch 45: train_loss 0.2313, valid_loss 0.1912
Epoch 46: train_loss 0.2310, valid_loss 0.1910
Epoch 47: train_loss 0.2308, valid_loss 0.1913
Epoch 48: train_loss 0.2300, valid_loss 0.1918
Epoch 49: train_loss 0.2298, valid_loss 0.1928
Epoch 50: train_loss 0.2296, valid_loss 0.1930
Epoch 51: train_loss 0.2298, valid_loss 0.1932
Epoch 52: train_loss 0.2287, valid_loss 0.1928
Epoch 53: train_loss 0.2282, valid_loss 0.1928
Epoch 54: train_loss 0.2281, valid_loss 0.1928
Epoch 55: train_loss 0.2280, valid_loss 0.1931
Epoch 56: train_loss 0.2274, valid_loss 0.1942
Epoch 57: train_loss 0.2273, valid_loss 0.1951
Epoch 58: train_loss 0.2264, valid_loss 0.1947
Epoch 59: train_loss 0.2271, valid_loss 0.1946
Epoch 60: train_loss 0.2257, valid_loss 0.1953
Epoch 61: train_loss 0.2251, valid_loss 0.1937
Epoch 62: train_loss 0.2247, valid_loss 0.1952
Epoch 63: train_loss 0.2241, valid_loss 0.1952
Epoch 64: train_loss 0.2240, valid_loss 0.1958
Epoch 65: train_loss 0.2232, valid_loss 0.1972
Epoch 66: train_loss 0.2230, valid_loss 0.1977
Epoch 67: train_loss 0.2230, valid_loss 0.1966
Epoch 68: train_loss 0.2223, valid_loss 0.1991
Epoch 69: train_loss 0.2213, valid_loss 0.1984
Epoch 70: train_loss 0.2210, valid_loss 0.1988
Epoch 71: train_loss 0.2206, valid_loss 0.2001
Epoch 72: train_loss 0.2202, valid_loss 0.2006
Epoch 73: train_loss 0.2198, valid_loss 0.2000
Best Loss: 0.188633 @ Epoch 23
{'IC': np.float64(0.005497942270122926),
 'ICIR': np.float64(0.024823891816327683),
 'Rank IC': np.float64(0.005534291813850986),
 'Rank ICIR': np.float64(0.026485462060277257)}


========== FactorVAEModel 训练配置 ==========
num_feature: 158
seq_len: 20
num_latent: 158
num_factor: 48
num_portfolio: 48
hidden_size: 48
gamma: 1.0
n_epochs: 200
lr: 0.001
early_stop: 15
batch_size: 256
optimizer: adam
===================================================

========== 训练过程 ==========
Epoch 0: train_loss 1.2012, valid_loss 1.3848
Epoch 1: train_loss 1.1165, valid_loss 1.3448
Epoch 2: train_loss 0.8160, valid_loss 1.2963
Epoch 3: train_loss 0.6596, valid_loss 1.2729
Epoch 4: train_loss 0.6423, valid_loss 1.2909
Epoch 5: train_loss 0.6145, valid_loss 1.2531
Epoch 6: train_loss 0.4696, valid_loss 1.2431
Epoch 7: train_loss 0.4524, valid_loss 1.2343
Epoch 8: train_loss 0.4183, valid_loss 1.2284
Epoch 9: train_loss 0.4087, valid_loss 1.2243
Epoch 10: train_loss 0.3756, valid_loss 1.2304
Epoch 11: train_loss 0.4242, valid_loss 1.2164
Epoch 12: train_loss 0.3350, valid_loss 1.2078
Epoch 13: train_loss 0.2931, valid_loss 1.2040
Epoch 14: train_loss 0.3713, valid_loss 1.2084
Epoch 15: train_loss 0.2841, valid_loss 1.1960
Epoch 16: train_loss 0.2070, valid_loss 1.1934
Epoch 17: train_loss 0.2382, valid_loss 1.1998
Epoch 18: train_loss 0.2552, valid_loss 1.1954
Epoch 19: train_loss 0.2160, valid_loss 1.1893
Epoch 20: train_loss 0.1509, valid_loss 1.1861
Epoch 21: train_loss 0.1850, valid_loss 1.2193
Epoch 22: train_loss 0.2799, valid_loss 1.1889
Epoch 23: train_loss 0.1318, valid_loss 1.1782
Epoch 24: train_loss 0.1449, valid_loss 1.1937
Epoch 25: train_loss 0.1821, valid_loss 1.1922
Epoch 26: train_loss 0.1387, valid_loss 1.1854
Epoch 27: train_loss 0.2787, valid_loss 1.1937
Epoch 28: train_loss 0.1527, valid_loss 1.1873
Epoch 29: train_loss 0.0543, valid_loss 1.1901
Epoch 30: train_loss 0.0996, valid_loss 1.1956
Epoch 31: train_loss 0.0833, valid_loss 1.1898
